,,,,,,,,MEDIAN PRICE,,MEDIAN QUARTERLY,,MEDIAN 12 MONTH,,MEDIAN 3 YEARS,,MEDIAN 5 YEARS,,10 YEARS AVERAGE ANNUAL,,Weekly media advert. rent,,Time on Market,,Gross Rental Yield Percent,,,,,,,,,,,
SUBURBS,STATE,POSTCODE,,,DISTANCE FROM CBD (KM),POPULATION,5 YEAR CHANGE,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,UNIT,HOUSE,HOUSE,HOUSE,HOUSE,WEEKLY HOUSEHOLD INCOME MEDIAN,WEEKLY GROSS HOUSEHOLD INCOME MEAN,WEEKLY NET MEAN INCOME,HHOLD SIZE,OCCUPATION,AGE,MONTHLY LOAN REPAYMENT,20% Deposit,Current Savings Rate,Numbers of years (Based on Savings Rate)
Perwillowen,QLD,4560,https://www.smartpropertyinvestment.com.au/data/qld/4560/perwillowen,,93,213,4.00%,,,,,,,,,,,,,,,,,,,,"$1,151",$960,,0.0%,,,$0,"$4,990",0
Chewko,QLD,4880,https://www.smartpropertyinvestment.com.au/data/qld/4880/chewko,,"1,399",213,10.00%,,,,,,,,,,,,,,,,,,,,"$1,051",$892,,0.0%,,,$0,"$4,638",0
Isla,QLD,4719,https://www.smartpropertyinvestment.com.au/data/qld/4719/isla,,395,213,34.00%,,,,,,,,,,,,,,,,,,,,"$1,104",$928,,0.0%,,,$0,"$4,826",0
Crackenback,NSW,2627,https://www.smartpropertyinvestment.com.au/data/nsw/2627/crackenback,,377,213,8.00%,,,,,,,,,,,,,,,,,,,,"$1,332","$1,083",,0.0%,,,$0,"$5,630",0
Monteagle,NSW,2594,https://www.smartpropertyinvestment.com.au/data/nsw/2594/monteagle,,265,213,2.00%,,,,,,,,,,,,,,,,,,,,"$1,106",$929,,16.7%,,,$0,"$4,832",0
Arcadia,VIC,3631,https://www.smartpropertyinvestment.com.au/data/vic/3631/arcadia,,145,212,2.00%,,,,,,,,,,,,,,,,,,,,"$1,268","$1,039",,,,,$0,"$5,403",0
Rosevale,QLD,4340,https://www.smartpropertyinvestment.com.au/data/qld/4340/rosevale,,68,212,2.00%,,,,,,,,,,,,,,,,,,,,"$1,134",$948,,,,,$0,"$4,930",0
Coolmunda,QLD,4387,https://www.smartpropertyinvestment.com.au/data/qld/4387/coolmunda,,208,212,50.00%,,,,,,,,,,,,,,,,,,,,$912,$797,,0.0%,,,$0,"$4,145",0
Coalcliff,NSW,2508,https://www.smartpropertyinvestment.com.au/data/nsw/2508/coalcliff,,48,212,12.00%,,,,,,,,,,,,,,,,,,,,"$1,601","$1,266",,0.0%,,,$0,"$6,583",0
Berrilee,NSW,2159,https://www.smartpropertyinvestment.com.au/data/nsw/2159/berrilee,,29,212,5.00%,,,,,,,,,,,,,,,,,,,,"$1,751","$1,368",,0.0%,,,$0,"$7,112",0
Maude,VIC,3331,https://www.smartpropertyinvestment.com.au/data/vic/3331/maude,,69,211,5.00%,,,,,,,,,,,,,,,,,,,,"$1,343","$1,091",,,,,$0,"$5,671",0
Cambroon,QLD,4552,https://www.smartpropertyinvestment.com.au/data/qld/4552/cambroon,,98,211,4.00%,,,,,,,,,,,,,,,,,,,,"$1,176",$977,,0.0%,,,$0,"$5,080",0
Kogan,QLD,4406,https://www.smartpropertyinvestment.com.au/data/qld/4406/kogan,,225,211,11.00%,,,,,,,,,,,,,,,,,,,,$971,$837,,0.0%,,,$0,"$4,354",0
Pinnacle,QLD,4741,https://www.smartpropertyinvestment.com.au/data/qld/4741/pinnacle,,823,211,1.00%,,,,,,,,,,,,,,,,,,,,"$1,415","$1,140",,,,,$0,"$5,926",0
Kingsdale,NSW,2580,https://www.smartpropertyinvestment.com.au/data/nsw/2580/kingsdale,,166,211,21.00%,,,,,,,,,,,,,,,,,,,,"$1,239","$1,020",,0.0%,,,$0,"$5,304",0
Toothdale,NSW,2550,https://www.smartpropertyinvestment.com.au/data/nsw/2550/toothdale,,351,210,22.00%,,,,,,,,,,,,,,,,,,,,"$1,045",$888,,0.0%,,,$0,"$4,616",0
Girvan,NSW,2425,https://www.smartpropertyinvestment.com.au/data/nsw/2425/girvan,,174,210,30.00%,,,,,,,,,,,,,,,,,,,,"$1,100",$925,,0.0%,,,$0,"$4,811",0
Bowenvale,VIC,3465,https://www.smartpropertyinvestment.com.au/data/vic/3465/bowenvale,,144,209,16.00%,,,,,,,,,,,,,,,,,,,,$979,$843,,0.0%,,,$0,"$4,382",0
Evelyn,QLD,4888,https://www.smartpropertyinvestment.com.au/data/qld/4888/evelyn,,"1,351",209,13.00%,,,,,,,,,,,,,,,,,,,,$953,$825,,0.0%,,,$0,"$4,292",0
Allenview,QLD,4285,https://www.smartpropertyinvestment.com.au/data/qld/4285/allenview,,50,209,14.00%,,,,,,,,,,,,,,,,,,,,"$1,179",$979,,0.0%,,,$0,"$5,090",0
Araluen,NSW,2622,https://www.smartpropertyinvestment.com.au/data/nsw/2622/araluen,,235,209,24.00%,,,,,,,,,,,,,,,,,,,,"$1,202",$994,,,,,$0,"$5,170",0
Winton,NSW,2344,https://www.smartpropertyinvestment.com.au/data/nsw/2344/winton,,309,209,6.00%,,,,,,,,,,,,,,,,,,,,"$1,015",$867,,,,,$0,"$4,509",0
Rokewood,VIC,3330,https://www.smartpropertyinvestment.com.au/data/vic/3330/rokewood,,107,208,4.00%,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Devenish,VIC,3726,https://www.smartpropertyinvestment.com.au/data/vic/3726/devenish,,185,208,6.00%,,,,,,,,,,,,,,,,,,,,$896,$786,,0.0%,,,$0,"$4,088",0
Glenaroua,VIC,3764,https://www.smartpropertyinvestment.com.au/data/vic/3764/glenaroua,,78,208,35.00%,,,,,,,,,,,,,,,,,,,,"$1,286","$1,051",,0.0%,,,$0,"$5,467",0
Gundowring,VIC,3691,https://www.smartpropertyinvestment.com.au/data/vic/3691/gundowring,,248,208,3.00%,,,,,,,,,,,,,,,,,,,,"$1,295","$1,058",,0.0%,,,$0,"$5,502",0
Marmor,QLD,4702,https://www.smartpropertyinvestment.com.au/data/qld/4702/marmor,,477,208,2.00%,,,,,,,,,,,,,,,,,,,,"$1,304","$1,064",,0.0%,,,$0,"$5,533",0
Freestone,QLD,4370,https://www.smartpropertyinvestment.com.au/data/qld/4370/freestone,,114,208,4.00%,,,,,,,,,,,,,,,,,,,,"$1,016",$868,,0.0%,,,$0,"$4,515",0
Weranga,QLD,4405,https://www.smartpropertyinvestment.com.au/data/qld/4405/weranga,,226,208,3.00%,,,,,,,,,,,,,,,,,,,,"$1,189",$985,,0.0%,,,$0,"$5,124",0
Pozieres,QLD,4352,https://www.smartpropertyinvestment.com.au/data/qld/4352/pozieres,,164,208,43.00%,,,,,,,,,,,,,,,,,,,,"$1,289","$1,053",,0.0%,,,$0,"$5,478",0
Avoca,NSW,2577,https://www.smartpropertyinvestment.com.au/data/nsw/2577/avoca,,106,208,5.00%,,,,,,,,,,,,,,,,,,,,"$1,422","$1,144",,,,,$0,"$5,948",0
Brayton,NSW,2579,https://www.smartpropertyinvestment.com.au/data/nsw/2579/brayton,,139,208,20.00%,,,,,,,,,,,,,,,,,,,,"$1,459","$1,169",,0.0%,,,$0,"$6,079",0
Monegeetta,VIC,3433,https://www.smartpropertyinvestment.com.au/data/vic/3433/monegeetta,,50,207,5.00%,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Kongwak,VIC,3951,https://www.smartpropertyinvestment.com.au/data/vic/3951/kongwak,,101,207,5.00%,,,,,,,,,,,,,,,,,,,,"$1,071",$905,,0.0%,,,$0,"$4,707",0
Bogie,QLD,4805,https://www.smartpropertyinvestment.com.au/data/qld/4805/bogie,,946,207,29.00%,,,,,,,,,,,,,,,,,,,,"$1,240","$1,020",,0.0%,,,$0,"$5,307",0
Ellerbeck,QLD,4816,https://www.smartpropertyinvestment.com.au/data/qld/4816/ellerbeck,,"1,253",207,1.00%,,,,,,,,,,,,,,,,,,,,"$1,256","$1,031",,0.0%,,,$0,"$5,364",0
Argoon,QLD,4702,https://www.smartpropertyinvestment.com.au/data/qld/4702/argoon,,445,207,37.00%,,,,,,,,,,,,,,,,,,,,"$1,304","$1,064",,,,,$0,"$5,533",0
Womina,QLD,4370,https://www.smartpropertyinvestment.com.au/data/qld/4370/womina,,125,207,12.00%,,,,,,,,,,,,,,,,,,,,"$1,016",$868,,0.0%,,,$0,"$4,515",0
Yarranbella,NSW,2447,https://www.smartpropertyinvestment.com.au/data/nsw/2447/yarranbella,,378,207,7.00%,,,,,,,,,,,,,,,,,,,,$971,$837,,0.0%,,,$0,"$4,353",0
Boomi,NSW,2405,https://www.smartpropertyinvestment.com.au/data/nsw/2405/boomi,,591,207,3.00%,,,,,,,,,,,,,,,,,,,,"$1,393","$1,124",,0.0%,,,$0,"$5,846",0
Numulgi,NSW,2480,https://www.smartpropertyinvestment.com.au/data/nsw/2480/numulgi,,605,207,1.00%,,,,,,,,,,,,,,,,,,,,"$1,076",$909,,0.0%,,,$0,"$4,728",0
Eganstown,VIC,3461,https://www.smartpropertyinvestment.com.au/data/vic/3461/eganstown,,91,206,2.00%,,,,,,,,,,,,,,,,,,,,"$1,302","$1,063",,0.0%,,,$0,"$5,527",0
Picola,VIC,3639,https://www.smartpropertyinvestment.com.au/data/vic/3639/picola,,207,206,1.00%,,,,,,,,,,,,,,,,,,,,$869,$768,,0.0%,,,$0,"$3,992",0
Ellaswood,VIC,3875,https://www.smartpropertyinvestment.com.au/data/vic/3875/ellaswood,,230,206,11.00%,,,,,,,,,,,,,,,,,,,,"$1,065",$901,,0.0%,,,$0,"$4,686",0
Huon,VIC,3695,https://www.smartpropertyinvestment.com.au/data/vic/3695/huon,,258,206,6.00%,,,,,,,,,,,,,,,,,,,,"$1,052",$892,,0.0%,,,$0,"$4,640",0
Ropeley,QLD,4343,https://www.smartpropertyinvestment.com.au/data/qld/4343/ropeley,,78,206,6.00%,,,,,,,,,,,,,,,,,,,,$978,$842,,100.0%,,,$0,"$4,378",0
Bullyard,QLD,4671,https://www.smartpropertyinvestment.com.au/data/qld/4671/bullyard,,297,206,9.00%,,,,,,,,,,,,,,,,,,,,$871,$769,,0.0%,,,$0,"$3,999",0
Kangaloon,NSW,2576,https://www.smartpropertyinvestment.com.au/data/nsw/2576/kangaloon,,98,206,36.00%,,,,,,,,,,,,,,,,,,,,"$2,070","$1,585",,0.0%,,,$0,"$8,240",0
Clergate,NSW,2800,https://www.smartpropertyinvestment.com.au/data/nsw/2800/clergate,,207,206,2.00%,,,,,,,,,,,,,,,,,,,,"$1,421","$1,143",,0.0%,,,$0,"$5,944",0
Congewai,NSW,2325,https://www.smartpropertyinvestment.com.au/data/nsw/2325/congewai,,96,206,15.00%,,,,,,,,,,,,,,,,,,,,"$1,208",$999,,0.0%,,,$0,"$5,192",0
Myrtlevale,QLD,4800,https://www.smartpropertyinvestment.com.au/data/qld/4800/myrtlevale,,915,205,27.00%,,,,,,,,,,,,,,,,,,,,"$1,279","$1,047",,0.0%,,,$0,"$5,443",0
Horton,QLD,4660,https://www.smartpropertyinvestment.com.au/data/qld/4660/horton,,259,205,30.00%,,,,,,,,,,,,,,,,,,,,$968,$835,,0.0%,,,$0,"$4,342",0
Quinalow,QLD,4403,https://www.smartpropertyinvestment.com.au/data/qld/4403/quinalow,,145,205,19.00%,,,,,,,,,,,,,,,,,,,,"$1,023",$873,,0.0%,,,$0,"$4,538",0
Bingie,NSW,2537,https://www.smartpropertyinvestment.com.au/data/nsw/2537/bingie,,259,205,5.00%,,,,,,,,,,,,,,,,,,,,"$1,114",$934,,0.0%,,,$0,"$4,859",0
Blandford,NSW,2338,https://www.smartpropertyinvestment.com.au/data/nsw/2338/blandford,,236,205,12.00%,,,,,,,,,,,,,,,,,,,,"$1,078",$911,,0.0%,,,$0,"$4,735",0
Eagleton,NSW,2324,https://www.smartpropertyinvestment.com.au/data/nsw/2324/eagleton,,140,205,3.00%,,,,,,,,,,,,,,,,,,,,"$1,124",$941,,0.0%,,,$0,"$4,895",0
Warrion,VIC,3249,https://www.smartpropertyinvestment.com.au/data/vic/3249/warrion,,131,204,3.00%,,,,,,,,,,,,,,,,,,,,"$1,092",$919,,0.0%,,,$0,"$4,781",0
Burketown,QLD,4830,https://www.smartpropertyinvestment.com.au/data/qld/4830/burketown,,"1,745",204,14.00%,,,,,,,,,,,,,,,,,,,,"$1,020",$871,,0.0%,,,$0,"$4,529",0
Carool,NSW,2486,https://www.smartpropertyinvestment.com.au/data/nsw/2486/carool,,661,204,17.00%,,,,,,,,,,,,,,,,,,,,"$1,163",$968,,0.0%,,,$0,"$5,034",0
Stanbridge,NSW,2705,https://www.smartpropertyinvestment.com.au/data/nsw/2705/stanbridge,,460,204,1.00%,,,,,,,,,,,,,,,,,,,,"$1,124",$942,,0.0%,,,$0,"$4,897",0
Cawongla,NSW,2474,https://www.smartpropertyinvestment.com.au/data/nsw/2474/cawongla,,611,204,6.00%,,,,,,,,,,,,,,,,,,,,$900,$789,,0.0%,,,$0,"$4,103",0
Northwood,VIC,3660,https://www.smartpropertyinvestment.com.au/data/vic/3660/northwood,,98,203,4.00%,,,,,,,,,,,,,,,,,,,,"$1,079",$911,,,,,$0,"$4,737",0
Macknade,QLD,4850,https://www.smartpropertyinvestment.com.au/data/qld/4850/macknade,,"1,211",203,11.00%,,,,,,,,,,,,,,,,,,,,"$1,104",$928,,23.8%,,,$0,"$4,826",0
Cobaki,NSW,2486,https://www.smartpropertyinvestment.com.au/data/nsw/2486/cobaki,,664,203,1.00%,,,,,,,,,,,,,,,,,,,,"$1,163",$968,,0.0%,,,$0,"$5,034",0
Conway,QLD,4800,https://www.smartpropertyinvestment.com.au/data/qld/4800/conway,,894,202,4.00%,,,,,,,,,,,,,,,,,,,,"$1,279","$1,047",,0.0%,,,$0,"$5,443",0
McIlwraith,QLD,4671,https://www.smartpropertyinvestment.com.au/data/qld/4671/mcilwraith,,293,202,6.00%,,,,,,,,,,,,,,,,,,,,$871,$769,,0.0%,,,$0,"$3,999",0
Euleilah,QLD,4674,https://www.smartpropertyinvestment.com.au/data/qld/4674/euleilah,,350,202,11.00%,,,,,,,,,,,,,,,,,,,,$874,$771,,0.0%,,,$0,"$4,011",0
Blanchview,QLD,4352,https://www.smartpropertyinvestment.com.au/data/qld/4352/blanchview,,99,202,6.00%,,,,,,,,,,,,,,,,,,,,"$1,289","$1,053",,0.0%,,,$0,"$5,478",0
Greenethorpe,NSW,2809,https://www.smartpropertyinvestment.com.au/data/nsw/2809/greenethorpe,,260,202,16.00%,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Narbethong,VIC,3778,https://www.smartpropertyinvestment.com.au/data/vic/3778/narbethong,,67,201,2.00%,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Buchan,VIC,3885,https://www.smartpropertyinvestment.com.au/data/vic/3885/buchan,,286,201,15.00%,,,,,,,,,,,,,,,,,,,,$983,$846,,0.0%,,,$0,"$4,399",0
Baree,QLD,4714,https://www.smartpropertyinvestment.com.au/data/qld/4714/baree,,503,201,23.00%,,,,,,,,,,,,,,,,,,,,"$1,122",$940,,0.0%,,,$0,"$4,889",0
Clare,QLD,4807,https://www.smartpropertyinvestment.com.au/data/qld/4807/clare,,"1,036",201,3.00%,,,,,,,,,,,,,,,,,,,,"$1,274","$1,044",,,,,$0,"$5,427",0
Goranba,QLD,4421,https://www.smartpropertyinvestment.com.au/data/qld/4421/goranba,,237,201,8.00%,,,,,,,,,,,,,,,,,,,,$830,$736,,0.0%,,,$0,"$3,828",0
Larpent,VIC,3249,https://www.smartpropertyinvestment.com.au/data/vic/3249/larpent,,140,200,3.00%,,,,,,,,,,,,,,,,,,,,"$1,092",$919,,0.0%,,,$0,"$4,781",0
Landsborough,VIC,3384,https://www.smartpropertyinvestment.com.au/data/vic/3384/landsborough,,183,200,11.00%,,,,,,,,,,,,,,,,,,,,$914,$798,,,,,$0,"$4,152",0
Clarence,NSW,2790,https://www.smartpropertyinvestment.com.au/data/nsw/2790/clarence,,101,200,,,,,,,,,,,,,,,,,,,,,"$1,259","$1,033",,0.0%,,,$0,"$5,374",0
Carrathool,NSW,2711,https://www.smartpropertyinvestment.com.au/data/nsw/2711/carrathool,,534,200,16.00%,,,,,,,,,,,,,,,,,,,,"$1,201",$994,,0.0%,,,$0,"$5,168",0
Tuchekoi,QLD,4570,https://www.smartpropertyinvestment.com.au/data/qld/4570/tuchekoi,,121,199,1.00%,,,,,,,,,,,,,,,,,,,,"$1,035",$881,,50.0%,,,$0,"$4,580",0
Westwood,QLD,4702,https://www.smartpropertyinvestment.com.au/data/qld/4702/westwood,,509,199,14.00%,,,,,,,,,,,,,,,,,,,,"$1,304","$1,064",,,,,$0,"$5,533",0
Minimbah,NSW,2312,https://www.smartpropertyinvestment.com.au/data/nsw/2312/minimbah,,218,199,4.00%,,,,,,,,,,,,,,,,,,,,"$1,002",$859,,0.0%,,,$0,"$4,464",0
Currawarna,NSW,2650,https://www.smartpropertyinvestment.com.au/data/nsw/2650/currawarna,,399,199,5.00%,,,,,,,,,,,,,,,,,,,,"$1,322","$1,076",,0.0%,,,$0,"$5,596",0
Marlee,NSW,2429,https://www.smartpropertyinvestment.com.au/data/nsw/2429/marlee,,255,199,9.00%,,,,,,,,,,,,,,,,,,,,$952,$825,,23.5%,,,$0,"$4,289",0
Strathewen,VIC,3099,https://www.smartpropertyinvestment.com.au/data/vic/3099/strathewen,,42,198,11.00%,,,,,,,,,,,,,,,,,,,,"$1,435","$1,153",,0.0%,,,$0,"$5,996",0
Dederang,VIC,3691,https://www.smartpropertyinvestment.com.au/data/vic/3691/dederang,,235,198,19.00%,,,,,,,,,,,,,,,,,,,,"$1,295","$1,058",,0.0%,,,$0,"$5,502",0
Majorca,VIC,3465,https://www.smartpropertyinvestment.com.au/data/vic/3465/majorca,,127,198,6.00%,,,,,,,,,,,,,,,,,,,,$979,$843,,0.0%,,,$0,"$4,382",0
Tyrendarra,VIC,3285,https://www.smartpropertyinvestment.com.au/data/vic/3285/tyrendarra,,281,198,7.00%,,,,,,,,,,,,,,,,,,,,"$1,190",$986,,0.0%,,,$0,"$5,129",0
Curramore,QLD,4552,https://www.smartpropertyinvestment.com.au/data/qld/4552/curramore,,92,198,4.00%,,,,,,,,,,,,,,,,,,,,"$1,176",$977,,,,,$0,"$5,080",0
Parklands,QLD,4560,https://www.smartpropertyinvestment.com.au/data/qld/4560/parklands,,97,198,12.00%,,,,,,,,,,,,,,,,,,,,"$1,151",$960,,,,,$0,"$4,990",0
Southgate,NSW,2460,https://www.smartpropertyinvestment.com.au/data/nsw/2460/southgate,,503,198,8.00%,,,,,,,,,,,,,,,,,,,,"$1,044",$887,,0.0%,,,$0,"$4,613",0
Cumborah,NSW,2832,https://www.smartpropertyinvestment.com.au/data/nsw/2832/cumborah,,584,198,21.00%,,,,,,,,,,,,,,,,,,,,"$1,053",$893,,0.0%,,,$0,"$4,645",0
Cashmore,VIC,3305,https://www.smartpropertyinvestment.com.au/data/vic/3305/cashmore,,308,197,14.00%,,,,,,,,,,,,,,,,,,,,"$1,157",$964,,0.0%,,,$0,"$5,014",0
Ovens,VIC,3738,https://www.smartpropertyinvestment.com.au/data/vic/3738/ovens,,211,197,10.00%,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Mundoo,QLD,4860,https://www.smartpropertyinvestment.com.au/data/qld/4860/mundoo,,"1,316",197,12.00%,,,,,,,,,,,,,,,,,,,,"$1,037",$882,,0.0%,,,$0,"$4,587",0
Korweinguboora,VIC,3461,https://www.smartpropertyinvestment.com.au/data/vic/3461/korweinguboora,,83,196,17.00%,,,,,,,,,,,,,,,,,,,,"$1,302","$1,063",,40.0%,,,$0,"$5,527",0
Billywillinga,NSW,2795,https://www.smartpropertyinvestment.com.au/data/nsw/2795/billywillinga,,176,196,1.00%,,,,,,,,,,,,,,,,,,,,"$1,260","$1,034",,0.0%,,,$0,"$5,376",0
Caroona,NSW,2343,https://www.smartpropertyinvestment.com.au/data/nsw/2343/caroona,,285,196,3.00%,,,,,,,,,,,,,,,,,,,,"$1,030",$878,,0.0%,,,$0,"$4,564",0
Swanhaven,NSW,2540,https://www.smartpropertyinvestment.com.au/data/nsw/2540/swanhaven,,159,196,2.00%,,,,,,,,,,,,,,,,,,,,"$1,150",$959,,0.0%,,,$0,"$4,989",0
Yarrahapinni,NSW,2441,https://www.smartpropertyinvestment.com.au/data/nsw/2441/yarrahapinni,,375,196,1.00%,,,,,,,,,,,,,,,,,,,,$971,$838,,0.0%,,,$0,"$4,356",0
Dingee,VIC,3571,https://www.smartpropertyinvestment.com.au/data/vic/3571/dingee,,174,195,5.00%,,,,,,,,,,,,,,,,,,,,$902,$791,,0.0%,,,$0,"$4,112",0
Alma,VIC,3465,https://www.smartpropertyinvestment.com.au/data/vic/3465/alma,,143,195,3.00%,,,,,,,,,,,,,,,,,,,,$979,$843,,,,,$0,"$4,382",0
Killarney,VIC,3283,https://www.smartpropertyinvestment.com.au/data/vic/3283/killarney,,238,195,5.00%,,,,,,,,,,,,,,,,,,,,"$1,284","$1,050",,,,,$0,"$5,462",0
Junabee,QLD,4370,https://www.smartpropertyinvestment.com.au/data/qld/4370/junabee,,123,195,8.00%,,,,,,,,,,,,,,,,,,,,"$1,016",$868,,0.0%,,,$0,"$4,515",0
Ridgelands,QLD,4702,https://www.smartpropertyinvestment.com.au/data/qld/4702/ridgelands,,543,195,18.00%,,,,,,,,,,,,,,,,,,,,"$1,304","$1,064",,0.0%,,,$0,"$5,533",0
Aylmerton,NSW,2575,https://www.smartpropertyinvestment.com.au/data/nsw/2575/aylmerton,,90,195,1.00%,,,,,,,,,,,,,,,,,,,,"$1,851","$1,436",,0.0%,,,$0,"$7,466",0
Berringa,VIC,3351,https://www.smartpropertyinvestment.com.au/data/vic/3351/berringa,,113,194,16.00%,,,,,,,,,,,,,,,,,,,,"$1,179",$979,,0.0%,,,$0,"$5,089",0
Faraday,VIC,3451,https://www.smartpropertyinvestment.com.au/data/vic/3451/faraday,,103,194,23.00%,,,,,,,,,,,,,,,,,,,,"$1,206",$997,,0.0%,,,$0,"$5,187",0
Fernbank,VIC,3864,https://www.smartpropertyinvestment.com.au/data/vic/3864/fernbank,,208,194,28.00%,,,,,,,,,,,,,,,,,,,,,$651,,0.0%,,,$0,"$3,386",0
Yarck,VIC,3719,https://www.smartpropertyinvestment.com.au/data/vic/3719/yarck,,99,194,16.00%,,,,,,,,,,,,,,,,,,,,"$1,260","$1,034",,0.0%,,,$0,"$5,375",0
Shannonvale,QLD,4873,https://www.smartpropertyinvestment.com.au/data/qld/4873/shannonvale,,"1,454",194,4.00%,,,,,,,,,,,,,,,,,,,,"$1,048",$890,,0.0%,,,$0,"$4,627",0
Tyagarah,NSW,2481,https://www.smartpropertyinvestment.com.au/data/nsw/2481/tyagarah,,626,194,28.00%,,,,,,,,,,,,,,,,,,,,"$1,434","$1,152",,0.0%,,,$0,"$5,990",0
Bective,NSW,2340,https://www.smartpropertyinvestment.com.au/data/nsw/2340/bective,,321,194,6.00%,,,,,,,,,,,,,,,,,,,,"$1,202",$995,,0.0%,,,$0,"$5,172",0
Minore,NSW,2830,https://www.smartpropertyinvestment.com.au/data/nsw/2830/minore,,310,194,27.00%,,,,,,,,,,,,,,,,,,,,"$1,290","$1,054",,0.0%,,,$0,"$5,483",0
Utungun,NSW,2447,https://www.smartpropertyinvestment.com.au/data/nsw/2447/utungun,,378,194,16.00%,,,,,,,,,,,,,,,,,,,,$971,$837,,0.0%,,,$0,"$4,353",0
Everton,VIC,3678,https://www.smartpropertyinvestment.com.au/data/vic/3678/everton,,208,193,5.00%,,,,,,,,,,,,,,,,,,,,"$1,216","$1,004",,0.0%,,,$0,"$5,221",0
Moranding,VIC,3764,https://www.smartpropertyinvestment.com.au/data/vic/3764/moranding,,65,193,4.00%,,,,,,,,,,,,,,,,,,,,"$1,286","$1,051",,0.0%,,,$0,"$5,467",0
Springfield,VIC,3434,https://www.smartpropertyinvestment.com.au/data/vic/3434/springfield,,56,193,7.00%,,,,,,,,,,,,,,,,,,,,"$1,395","$1,126",,,,,$0,"$5,854",0
Villeneuve,QLD,4514,https://www.smartpropertyinvestment.com.au/data/qld/4514/villeneuve,,70,193,8.00%,,,,,,,,,,,,,,,,,,,,"$1,181",$980,,0.0%,,,$0,"$5,098",0
Toomulla,QLD,4816,https://www.smartpropertyinvestment.com.au/data/qld/4816/toomulla,,"1,148",193,6.00%,,,,,,,,,,,,,,,,,,,,"$1,256","$1,031",,0.0%,,,$0,"$5,364",0
Tarong,QLD,4615,https://www.smartpropertyinvestment.com.au/data/qld/4615/tarong,,138,193,7.00%,,,,,,,,,,,,,,,,,,,,$968,$835,,0.0%,,,$0,"$4,343",0
Mooball,NSW,2483,https://www.smartpropertyinvestment.com.au/data/nsw/2483/mooball,,641,193,1.00%,,,,,,,,,,,,,,,,,,,,"$1,182",$981,,0.0%,,,$0,"$5,102",0
Hilldale,NSW,2420,https://www.smartpropertyinvestment.com.au/data/nsw/2420/hilldale,,157,193,1.00%,,,,,,,,,,,,,,,,,,,,"$1,217","$1,005",,0.0%,,,$0,"$5,225",0
Urliup,NSW,2484,https://www.smartpropertyinvestment.com.au/data/nsw/2484/urliup,,657,193,1.00%,,,,,,,,,,,,,,,,,,,,"$1,024",$874,,0.0%,,,$0,"$4,543",0
Wilby,VIC,3728,https://www.smartpropertyinvestment.com.au/data/vic/3728/wilby,,210,192,16.00%,,,,,,,,,,,,,,,,,,,,$981,$844,,25.0%,,,$0,"$4,389",0
Nahrunda,QLD,4570,https://www.smartpropertyinvestment.com.au/data/qld/4570/nahrunda,,146,192,1.00%,,,,,,,,,,,,,,,,,,,,"$1,035",$881,,0.0%,,,$0,"$4,580",0
Runnymede,QLD,4615,https://www.smartpropertyinvestment.com.au/data/qld/4615/runnymede,,138,192,16.00%,,,,,,,,,,,,,,,,,,,,$968,$835,,,,,$0,"$4,343",0
Greenvale,QLD,4816,https://www.smartpropertyinvestment.com.au/data/qld/4816/greenvale,,"1,247",192,17.00%,,,,,,,,,,,,,,,,,,,,"$1,256","$1,031",,,,,$0,"$5,364",0
Coleyville,QLD,4307,https://www.smartpropertyinvestment.com.au/data/qld/4307/coleyville,,57,192,4.00%,,,,,,,,,,,,,,,,,,,,"$1,116",$936,,0.0%,,,$0,"$4,869",0
Angourie,NSW,2464,https://www.smartpropertyinvestment.com.au/data/nsw/2464/angourie,,528,192,14.00%,,,,,,,,,,,,,,,,,,,,"$1,087",$916,,0.0%,,,$0,"$4,764",0
Rand,NSW,2642,https://www.smartpropertyinvestment.com.au/data/nsw/2642/rand,,468,192,6.00%,,,,,,,,,,,,,,,,,,,,"$1,163",$968,,0.0%,,,$0,"$5,032",0
Blighty,NSW,2713,https://www.smartpropertyinvestment.com.au/data/nsw/2713/blighty,,572,192,39.00%,,,,,,,,,,,,,,,,,,,,$967,$835,,0.0%,,,$0,"$4,340",0
Bunyan,NSW,2630,https://www.smartpropertyinvestment.com.au/data/nsw/2630/bunyan,,315,192,26.00%,,,,,,,,,,,,,,,,,,,,"$1,303","$1,063",,26.1%,,,$0,"$5,527",0
Kameruka,NSW,2550,https://www.smartpropertyinvestment.com.au/data/nsw/2550/kameruka,,346,192,63.00%,,,,,,,,,,,,,,,,,,,,"$1,045",$888,,0.0%,,,$0,"$4,616",0
